Date,Price,AHR999
2024/05/29 03:01:44,67983.6,1.140496958709606
2024/05/29 03:02:45,67955.5,1.1395543389816911
2024/05/29 03:03:45,67947.3,1.1392793419085587
2024/05/29 03:04:45,68000.2,1.1410539919034979
2024/05/29 03:05:45,68072.6,1.143485052041267
2024/05/29 03:06:46,68169.6,1.1467461901891813
2024/05/29 03:07:46,68141.7,1.1458077169836502
2024/05/29 03:08:46,68192.1,1.1475033032524098
2024/05/29 03:09:46,68168.6,1.146712546518712
2024/05/29 03:10:47,68154,1.1462214051333488
2024/05/29 03:11:47,68216.3,1.1483178992941925
2024/05/29 03:12:47,68251.6,1.149506650658962
2024/05/29 03:13:47,68226.5,1.1486613280128586
2024/05/29 03:14:48,68268.8,1.1500860951170724
2024/05/29 03:15:48,68203.1,1.1478735383500291
2024/05/29 03:16:48,68213.9,1.1482370999990716
2024/05/29 03:17:48,68239.7,1.1491058413993596
2024/05/29 03:18:49,68313.9,1.151606145734669
2024/05/29 03:19:49,68363.9,1.1532925193495693
2024/05/29 03:20:49,68340.6,1.1525065157292553
2024/05/29 03:21:49,68288.1,1.1507364595353888
2024/05/29 03:22:50,68230.9,1.1488094895869017
2024/05/29 03:23:50,68261.2,1.1498300435152347
2024/05/29 03:24:50,68259.1,1.1497592974413564
2024/05/29 03:25:50,68374.9,1.1536636871250214
2024/05/29 03:26:50,68291,1.1508341985731405
2024/05/29 03:27:51,68315.8,1.151670205380065
2024/05/29 03:28:51,68313.2,1.1515825452617956
2024/05/29 03:29:51,68298,1.1510701374893066
2024/05/29 03:30:51,68326.5,1.1520309955994819
2024/05/29 03:31:52,68339.3,1.152462669341596
2024/05/29 03:32:52,68297.1,1.151039801131053
2024/05/29 03:33:52,68328.6,1.1521018115279593
2024/05/29 03:34:52,68331.3,1.1521928637769494
2024/05/29 03:35:53,68282.9,1.1505612137235601
2024/05/29 03:36:53,68314.9,1.151639861115419
2024/05/29 03:37:53,68360.7,1.1531845544824977
2024/05/29 03:38:53,68307.9,1.151403863814351
2024/05/29 03:39:53,68360.7,1.1531845544824977
2024/05/29 03:40:54,68373.1,1.1536029464934983
2024/05/29 03:41:54,68393.4,1.1542880585109792
2024/05/29 03:42:54,68369.6,1.1534848442874945
2024/05/29 03:43:54,68380.2,1.1538425438258781
2024/05/29 03:44:55,68396.4,1.1543893238413434
2024/05/29 03:45:55,68436.6,1.1557467078124168
2024/05/29 03:46:55,68361.7,1.1532182929605717
2024/05/29 03:47:55,68345.1,1.1526582981271376
2024/05/29 03:48:55,68348.7,1.152779731241148
2024/05/29 03:49:56,68346.1,1.152692028906104
2024/05/29 03:50:56,68381.3,1.1538796667651776
2024/05/29 03:51:56,68450.2,1.1562061028441444
2024/05/29 03:52:56,68492,1.1576186384273892
2024/05/29 03:53:57,68557.6,1.1598371792594553
2024/05/29 03:54:57,68506.6,1.1581122152972319
2024/05/29 03:55:57,68541.4,1.1592891104133198
2024/05/29 03:56:57,68577.1,1.1604970635457785
2024/05/29 03:57:57,68559.9,1.1599150020029472
2024/05/29 03:58:58,68474.5,1.1570271609372347
2024/05/29 03:59:58,68445.2,1.1560371970009415
2024/05/29 04:00:58,68448.1,1.1561351608871928
2024/05/29 04:01:58,68470,1.1568750911553425
2024/05/29 04:02:59,68467.8,1.1568007495659747
2024/05/29 04:03:59,68443.1,1.1559662602260818
2024/05/29 04:04:59,68367,1.1533971151338906
2024/05/29 04:05:59,68367.8,1.1534241083642716
2024/05/29 04:07:00,68431.9,1.1555879675184664
2024/05/29 04:08:00,68477.2,1.1571184076035066
2024/05/29 04:09:00,68482.1,1.1572840125948356
2024/05/29 04:10:00,68432.3,1.15560147690628
2024/05/29 04:11:01,68442.3,1.1559392372652995
2024/05/29 04:12:01,68469.9,1.1568717119403684
2024/05/29 04:13:01,68484.9,1.1573786493387328
2024/05/29 04:14:01,68499.9,1.1578856977819234
2024/05/29 04:15:02,68492.8,1.157645681011026
2024/05/29 04:16:02,68519.6,1.1585517900909423
2024/05/29 04:17:02,68532.5,1.1589880659871676
2024/05/29 04:18:03,68502.2,1.1579634550287097
2024/05/29 04:19:03,68475.1,1.1570474376632587
2024/05/29 04:20:03,68423.6,1.155307665540339
2024/05/29 04:21:03,68428.3,1.1554663865815835
2024/05/29 04:22:04,68440.5,1.1558784367584056
2024/05/29 04:23:04,68460.6,1.1565574665200944
2024/05/29 04:24:04,68410.9,1.1548788355550472
2024/05/29 04:25:04,68429,1.1554900268183754
2024/05/29 04:26:05,68419.1,1.1551557088020796
2024/05/29 04:27:05,68379,1.1538020467549905
2024/05/29 04:28:05,68367.9,1.1534274825402777
2024/05/29 04:29:05,68360.7,1.1531845544824977
2024/05/29 04:30:06,68355.7,1.1530158694951154
2024/05/29 04:31:06,68383.2,1.153943789612353
2024/05/29 04:32:06,68397,1.1544095774404315
2024/05/29 04:33:06,68362.3,1.153238536284312
2024/05/29 04:34:06,68411.3,1.154892340797187
2024/05/29 04:35:07,68395.1,1.1543454416528325
2024/05/29 04:36:07,68402.8,1.15460537139158
2024/05/29 04:37:07,68395.1,1.1543454416528325
2024/05/29 04:38:07,68360,1.1531609378414978
2024/05/29 04:39:08,68355.7,1.1530158694951154
2024/05/29 04:40:08,68391,1.1542070494447791
2024/05/29 04:41:08,68382.3,1.1539134154100226
2024/05/29 04:42:08,68370.5,1.1535152128487478
2024/05/29 04:43:08,68364.7,1.1533195113559893
